Boro-Block-Lot;CondoSection;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;GrossSqFt;EstimatedGrossIncome;GrossIncomePerSqFt;EstimatedExpense;ExpensePerSqFt;NetOperatingIncome;FullMarketValue;MarketValuePerSqFt
1-00007-7501;0735-R1;1 COENTIES SLIP;FINANCIAL;R9-CONDOMINIUM;42;1920;36500;1332615;36.51;342005;9.37;990610;7300000;200
1-00008-7501;1822-R1;39 WHITEHALL STREET;FINANCIAL;R4-CONDOMINIUM;78;1985;126420;6633257;52.47;1762295;13.94;4870962;30690000;242.76
1-00015-7502;1557-R1;20 WEST STREET;FINANCIAL;R4-CONDOMINIUM;282;1930;249076;11776313;47.28;2784670;11.18;8991643;67556006;271.23
1-00016-7501;0308-R1;377 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;239;1985;219495;10004582;45.58;2783197;12.68;7221385;54320996;247.48
1-00016-7502;0313-R1;320 ALBANY STREET;TRIBECA;R4-CONDOMINIUM;133;1986;139719;5127687;36.7;1497788;10.72;3629899;26737996;191.37
1-00016-7503;0385-R1;250 SOUTH END AVENUE;TRIBECA;R4-CONDOMINIUM;109;1985;105000;4365900;41.58;1273650;12.13;3092250;22210281;211.53
1-00016-7504;0360-R1;300 ALBANY STREET;TRIBECA;R4-CONDOMINIUM;107;1986;87479;3637377;41.58;1061120;12.13;2576257;19449002;222.33
1-00016-7505;0371-R1;380 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;247;1987;255845;11246946;43.96;2440761;9.54;8806185;66316999;259.21
1-00016-7506;0398-R1;280 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;121;1985;106129;4115683;38.78;1231096;11.6;2884587;21821999;205.62
1-00016-7507;0450-R1;300 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;154;1986;126008;5239413;41.58;1528477;12.13;3710936;28015990;222.34
1-00016-7508;0498-R1;200 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;546;1987;586224;24375194;41.58;7110897;12.13;17264297;130154990;222.02
1-00016-7509;0621-R1;21 SOUTH END AVENUE;TRIBECA;R4-CONDOMINIUM;182;1988;208281;8077137;38.78;2416060;11.6;5661077;42824998;205.61
1-00016-7510;0779-R1;99 BATTERY PLACE;TRIBECA;R4-CONDOMINIUM;293;1988;341489;13591262;39.8;4309591;12.62;9281671;70161999;205.46
1-00016-7513;1217-R1;25 BATTERY PLACE;TRIBECA;R4-CONDOMINIUM;117;2003;267723;12202814;45.58;3394728;12.68;8808086;62110366;231.99
1-00016-7514;1623-R1;30 WEST STREET;TRIBECA;R4-CONDOMINIUM;234;2006;431824;18041607;41.78;5298480;12.27;12743127;89682996;207.68
1-00016-7515;1848-R1;225 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;304;1985;257848;11752712;45.58;3269513;12.68;8483199;63811996;247.48
1-00016-7516;1858-R1;1 RIVER TERRACE;TRIBECA;R4-CONDOMINIUM;256;2006;434398;19799861;45.58;5508167;12.68;14291694;100582005;231.54
1-00016-7518;2198-R1;333 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;174;1985;237725;10051013;42.28;2498490;10.51;7552523;57048005;239.97
1-00017-7502;1192-R1;33 RECTOR STREET;FINANCIAL;R4-CONDOMINIUM;13;1920;37236;1545666;41.51;439012;11.79;1106654;8355001;224.38
