Boro-Block-Lot;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;AreaSqFt;GrossIncomePerSqFt;ExpensePerSqFt;NetOperatingIncomePerSqFt;FullMarketValue;MarketValuePerSqFt
1-00007-7501;1 COENTIES SLIP;FINANCIAL;R9-CONDOMINIUM;42;1920;869.047619;36.51;9.37;1139.88;7300000;200
1-00008-7501;39 WHITEHALL STREET;FINANCIAL;R4-CONDOMINIUM;78;1985;1620.769231;52.47;13.94;3005.339629;30690000;242.76
1-00015-7502;20 WEST STREET;FINANCIAL;R4-CONDOMINIUM;282;1930;883.248227;47.28;11.18;10180.19932;67556006;271.23
1-00016-7501;377 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;239;1985;918.3891213;45.58;12.68;7863.099456;54320996;247.48
1-00016-7502;320 ALBANY STREET;TRIBECA;R4-CONDOMINIUM;133;1986;1050.518797;36.7;10.72;3455.33941;26737996;191.37
1-00016-7503;250 SOUTH END AVENUE;TRIBECA;R4-CONDOMINIUM;109;1985;963.3027523;41.58;12.13;3210.05;22210281;211.53
1-00016-7504;300 ALBANY STREET;TRIBECA;R4-CONDOMINIUM;107;1986;817.5607477;41.58;12.13;3151.15055;19449002;222.33
1-00016-7505;380 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;247;1987;1035.809717;43.96;9.54;8501.740093;66316999;259.21
1-00016-7506;280 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;121;1985;877.0991736;38.78;11.6;3288.780889;21821999;205.62
1-00016-7507;300 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;154;1986;818.2337662;41.58;12.13;4535.300489;28015990;222.34
1-00016-7508;200 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;546;1987;1073.67033;41.58;12.13;16079.70018;130154990;222.02
1-00016-7509;21 SOUTH END AVENUE;TRIBECA;R4-CONDOMINIUM;182;1988;1144.401099;38.78;11.6;4946.759493;42824998;205.61
1-00016-7510;99 BATTERY PLACE;TRIBECA;R4-CONDOMINIUM;293;1988;1165.491468;39.8;12.62;7963.73998;70161999;205.46
1-00016-7513;25 BATTERY PLACE;TRIBECA;R4-CONDOMINIUM;117;2003;2288.230769;45.58;12.68;3849.299694;62110366;231.99
1-00016-7514;30 WEST STREET;TRIBECA;R4-CONDOMINIUM;234;2006;1845.401709;41.78;12.27;6905.340413;89682996;207.68
1-00016-7515;225 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;304;1985;848.1842105;45.58;12.68;10001.59976;63811996;247.48
1-00016-7516;1 RIVER TERRACE;TRIBECA;R4-CONDOMINIUM;256;2006;1696.867188;45.58;12.68;8422.39988;100582005;231.54
1-00016-7518;333 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;174;1985;1366.235632;42.28;10.51;5527.979818;57048005;239.97
1-00017-7502;33 RECTOR STREET;FINANCIAL;R4-CONDOMINIUM;13;1920;2864.307692;41.51;11.79;386.360028;8355001;224.38
1-00018-7501;13 RECTOR STREET;FINANCIAL;R4-CONDOMINIUM;452;1956;700.9070796;45.93;11.87;15395.11914;81144002;256.13
1-00024-7501;40 BROAD STREET;FINANCIAL;R4-CONDOMINIUM;162;1982;1427.777778;42.28;10.51;5146.739999;43229973;186.9
1-00025-7501;15 WILLIAM STREET;FINANCIAL;R4-CONDOMINIUM;320;2005;1492.959375;41.58;12.13;9423.9999;106168339;222.23
1-00026-7501;15 BROAD STREET;FINANCIAL;R4-CONDOMINIUM;382;1914;1698.759162;42.28;10.51;12136.13999;155560004;239.72
1-00027-7501;55 WALL STREET;FINANCIAL;R4-CONDOMINIUM;107;1836;1491.065421;48.88;12.37;3906.570374;43678004;273.77
1-00027-7502;20 EXCHANGE PLACE;FINANCIAL;RR-CONDOMINIUM;350;1929;990.8257143;38.96;9.15;10434.73121;78272000;225.7
1-00028-7501;82 BEAVER STREET;FINANCIAL;R4-CONDOMINIUM;126;1987;769.0634921;33.76;10.27;2959.740026;16895998;174.36
1-00029-7501;48 BEAVER STREET;FINANCIAL;R9-CONDOMINIUM;40;1920;1634.9;22.83;9.09;549.5137317;6573000;100.51
1-00029-7503;21 SOUTH WILLIAM STREET;FINANCIAL;R4-CONDOMINIUM;31;1900;655.0967742;42.06;14.34;859.3188399;3751007;184.71
1-00031-7501;75 WALL STREET;FINANCIAL;R4-CONDOMINIUM;347;1987;1218.538905;45.93;11.87;11818.82002;83690005;197.93
1-00039-7501;164 PEARL STREET;FINANCIAL;R4-CONDOMINIUM;121;1956;904.6942149;38.36;12.07;3181.089204;21777997;198.94
1-00041-7501;50 PINE STREET;FINANCIAL;R4-CONDOMINIUM;20;1902;1980.35;41.51;11.79;594.3999798;8886999;224.38
1-00041-7503;56 PINE STREET;FINANCIAL;R4-CONDOMINIUM;90;1893;816.7444444;34.87;10.67;2177.99951;13165001;179.1
1-00044-7501;18 PINE STREET;FINANCIAL;R4-CONDOMINIUM;408;1928;1345.529412;42.28;10.51;12962.15961;118799990;216.4
1-00052-7501;112 LIBERTY STREET;FINANCIAL;RR-CONDOMINIUM;13;1900;1620.692308;21.88;8.92;168.4465328;1875000;88.99
1-00052-7502;114 LIBERTY STREET;FINANCIAL;R4-CONDOMINIUM;12;1913;5499.333333;35.98;11.06;299.0398836;6787002;102.85
1-00053-7501;120 GREENWICH STREET;FINANCIAL;R4-CONDOMINIUM;102;1903;705.7352941;41.51;11.79;3031.439717;16151989;224.38
1-00053-7502;123 WASHINGTON STREET;FINANCIAL;R4-CONDOMINIUM;160;2007;1346.66875;35.98;11.06;3987.200267;39629986;183.93
1-00065-7501;65 NASSAU STREET;FINANCIAL;R9-CONDOMINIUM;29;1920;984.4827586;29.72;8.93;602.9094921;4449000;155.83
1-00068-7501;80 JOHN STREET;FINANCIAL;R4-CONDOMINIUM;145;1927;1286.289655;42.28;10.51;4606.649814;44711007;239.72
1-00068-7502;90 WILLIAM STREET;FINANCIAL;R4-CONDOMINIUM;113;1967;993.0353982;42.28;10.51;3590.00999;26900017;239.72
1-00069-7502;90 JOHN STREET;FINANCIAL;RR-CONDOMINIUM;221;1931;969.9728507;32.91;9.42;5190.866936;37493000;174.9
1-00072-7501;170 JOHN STREET;FINANCIAL;R4-CONDOMINIUM;14;1982;1740.142857;34.28;7.75;371.4195058;4789000;196.58
1-00076-7501;15 CLIFF STREET;FINANCIAL;RR-CONDOMINIUM;156;2000;914.2692308;33.74;7.43;4104.502124;24970000;175.07
1-00076-7502;99 JOHN STREET;FINANCIAL;R4-CONDOMINIUM;441;2003;789.4716553;41.58;12.13;12987.45044;77405999;222.33
1-00078-7503;80 NASSAU STREET;FINANCIAL;R9-CONDOMINIUM;11;1900;2885.272727;35.5;9.23;288.9699099;6163000;194.18
1-00078-7504;9 DUTCH STREET;FINANCIAL;RR-CONDOMINIUM;19;1930;1514.473684;29.55;10.92;353.8820157;3751000;130.36
1-00078-7505;39 JOHN STREET;FINANCIAL;R9-CONDOMINIUM;14;1930;1223;44.58;14.15;426.0204415;3922000;229.06
1-00078-7506;102 FULTON STREET;FINANCIAL;R4-CONDOMINIUM;14;1910;1615.214286;40.04;11.69;396.9002785;4845000;214.26
1-00078-7507;111 WILLIAM STREET;FINANCIAL;R4-CONDOMINIUM;73;1909;1232.794521;37.04;7.68;2143.280129;19447000;216.09
1-00079-7502;130 FULTON STREET;FINANCIAL;R4-CONDOMINIUM;21;1900;3187.142857;35.98;11.06;523.3198118;12305999;183.86
1-00079-7503;71 NASSAU STREET;FINANCIAL;R4-CONDOMINIUM;67;1906;993.6567164;35.98;11.06;1669.64;12240999;183.87
1-00090-7501;15 PARK ROW;SOUTHBRIDGE;R4-CONDOMINIUM;210;1896;937.3190476;32.55;10.06;4723.329811;30017000;152.5
1-00090-7502;105 NASSAU STREET;SOUTHBRIDGE;R4-CONDOMINIUM;9;1923;2320.333333;31.81;11.7;1205.942243;3140000;150.36
1-00091-7502;111 FULTON STREET;SOUTHBRIDGE;R4-CONDOMINIUM;163;1940;1176.319018;34.87;12;2286.851939;32452994;169.26
1-00095-7501;117 BEEKMAN STREET;SOUTHBRIDGE;R4-CONDOMINIUM;22;1983;1689.545455;33.76;11.95;1528.190238;6017001;161.88
1-00097-7502;130 BEEKMAN STREET;SOUTHBRIDGE;R4-CONDOMINIUM;18;1900;1280.222222;31.81;11.7;1932.341333;3455999;149.97
1-00097-7503;220 FRONT STREET;SOUTHBRIDGE;R4-CONDOMINIUM;15;1910;1721.666667;33.76;10.27;1374.078853;4503000;174.37
1-00097-7504;214 FRONT STREET;SOUTHBRIDGE;R4-CONDOMINIUM;15;1999;1339.4;33.76;10.27;1685.519786;3503000;174.36
1-00100-7501;150 NASSAU STREET;SOUTHBRIDGE;R4-CONDOMINIUM;125;1900;1351.112;33.9;12;1590.885615;27446000;162.51
1-00106-7502;324 PEARL STREET;SOUTHBRIDGE;R4-CONDOMINIUM;49;1900;768.2857143;30.22;11.12;2657.011644;5292822;140.59
1-00132-7501;295 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;128;1987;905.5390625;42.78;12.14;2134.886956;26786996;231.1
1-00132-7501;275 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;133;1987;1037.714286;42.78;12.14;1758.77214;31896000;231.1
1-00132-7503;71 MURRAY STREET;TRIBECA;R4-CONDOMINIUM;11;2001;4954.545455;40.74;13.07;346.5469103;11391999;209.03
1-00133-7504;37 MURRAY STREET;CIVIC CENTER;R4-CONDOMINIUM;8;1969;2125;28.62;8.06;757.1114649;2012991;118.41
1-00133-7506;49 WARREN STREET;CIVIC CENTER;R4-CONDOMINIUM;10;1900;2296.4;35.98;11.06;653.5191197;3971997;172.97
1-00134-7503;9 MURRAY STREET;CIVIC CENTER;R4-CONDOMINIUM;27;1900;2216.777778;37.53;10.4;628.2184727;7359002;122.95
1-00134-7505;25 MURRAY STREET;CIVIC CENTER;R4-CONDOMINIUM;75;1930;1573.946667;45.23;11.02;816.1014731;28800004;243.97
1-00135-7501;261 BROADWAY;CIVIC CENTER;R9-CONDOMINIUM;65;1915;1730.769231;37.04;7.68;679.6860124;18150000;161.33
1-00135-7503;8 WARREN STREET;CIVIC CENTER;R4-CONDOMINIUM;14;1860;2288.5;36.51;9.37;466.794442;6408000;200.01
